stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5100083,,Kunowice,,52.3430780,14.6425210,,,0,
5189954,,Swinoujscie Centrum,,53.9129970,14.2360010,,,0,
5193610,,Slubice,,52.3415210,14.6183230,,,0,
8003774,,Lübeck St Jürgen,,53.8423750,10.7008680,,,0,
8010046,,Beucha,,51.3236210,12.5731330,,,0,
8010051,,Blankenberg(Meckl),,53.7723090,11.7152900,,,0,
8010059,,Borsdorf(Sachs),,51.3457250,12.5409000,,,0,
8010066,,Bützow,,53.8368140,11.9977410,,,0,
8010086,,Magdeburg-Rothensee,,52.1861230,11.6481150,,,0,
8010141,,Grevesmühlen,,53.8574710,11.1847160,,,0,
8010144,,Großbothen,,51.1844520,12.7590380,,,0,
8010208,,Leipzig-Paunsdorf,,51.3442260,12.4443650,,,0,
8010210,,Lietzow(Rügen),,54.4809680,13.5100060,,,0,
8010227,,Malchin,,53.7434150,12.7610340,,,0,
8010258,,Nossen,,51.0609170,13.2932660,,,0,
8010281,,Pratau,,51.8432600,12.6359710,,,0,
8010284,,Priemerburg,,53.7959770,12.2230230,,,0,
8010292,,Radebeul Ost,,51.0984670,13.6796430,,,0,
8010300,,Rövershagen,,54.1755640,12.2474400,,,0,
8010303,,Roßwein,,51.0605990,13.1851300,,,0,
8010318,,Schönebeck(Elbe),,52.0185010,11.7337570,,,0,
8010348,,Teterow,,53.7684360,12.5782530,,,0,
8010355,,Velgast,,54.2773190,12.8031330,,,0,
8011017,,Altefähr,,54.3229300,13.1410130,,,0,
8011027,,Altenwillershagen,,54.2594090,12.5728170,,,0,
8011112,,Barleber See,,52.2143480,11.6409290,,,0,
8011140,,Bentwisch,,54.1171930,12.2105110,,,0,
8011150,,Bergwitz,,51.8036990,12.5762200,,,0,
8011190,,Bindfelde,,52.5845650,11.8980380,,,0,
8011215,,Bobitz,,53.8045320,11.3628050,,,0,
8011260,,Brehna,,51.5544550,12.2221690,,,0,
8011281,,Buchenhorst,,54.2682120,12.7126890,,,0,
8011296,,Burgkemnitz,,51.6888140,12.4071730,,,0,
8011339,,Dahlen(Sachs),,51.3509710,12.9842530,,,0,
8011370,,Deutschenbora,,51.0518950,13.3485800,,,0,
8011389,,Döbeln Zentrum,,51.1162470,13.1245140,,,0,
8011486,,Elster(Elbe),,51.8323330,12.8277000,,,0,
8011491,,Engelsdorf,,51.3439790,12.4772720,,,0,
8011611,,Gelbensande,,54.1986920,12.3048080,,,0,
8011637,,Glaubitz(Riesa),,51.3175630,13.3654400,,,0,
8011638,,Gleisberg-Marbach,,51.0665580,13.2380120,,,0,
8011683,,Gräfenhainichen,,51.7247320,12.4600300,,,0,
8011689,,Grambow,,53.4173780,14.3474580,,,0,
8011702,,Grieben(Meckl),,53.8512360,11.0685730,,,0,
8011705,,Grimma ob Bf,,51.2302440,12.7142640,,,0,
8011763,,Großsteinberg,,51.2507590,12.6374960,,,0,
8011778,,Stralsund-Grünhufe,,54.3042960,13.0439270,,,0,
8011864,,Herrnburg,,53.8378300,10.7587830,,,0,
8011905,,Hohenthurm,,51.5123550,12.0978810,,,0,
8011960,,Jessen(Elster),,51.7925850,12.9549550,,,0,
8012020,,Kleeth,,53.6231430,13.0605260,,,0,
8012053,,Klosterbuch,,51.1577340,13.0038330,,,0,
8012117,,Kühren,,51.3493390,12.8332000,,,0,
8012146,,Lancken,,54.5180330,13.6078820,,,0,
8012147,,Landsberg(b. Halle/Saale),,51.5327780,12.1668830,,,0,
8012198,,Leisnig,,51.1603270,12.9383890,,,0,
8012268,,Lüdersdorf(Meckl),,53.8329280,10.8151450,,,0,
8012287,,Magdeburg Südost,,52.0705470,11.6697470,,,0,
8012291,,Magdeburg-Salbke,,52.0807460,11.6564410,,,0,
8012316,,Martensdorf,,54.3009140,12.9302450,,,0,
8012327,,Meißen Triebischtal,,51.1525580,13.4628880,,,0,
8012354,,Miltern,,52.5635270,11.9366350,,,0,
8012356,,Miltitz-Roitzschen,,51.1063230,13.4171330,,,0,
8012377,,Mönchhagen,,54.1435700,12.2253350,,,0,
8012409,,Muldenstein,,51.6677840,12.3540530,,,0,
8012416,,Naunhof,,51.2770900,12.5942360,,,0,
8012421,,Neetzka,,53.5335210,13.5008370,,,0,
8012436,,Neu Wokern,,53.7600330,12.5009140,,,0,
8012501,,Niederstriegis,,51.0833370,13.1505320,,,0,
8012523,,Nünchritz,,51.3028120,13.3914020,,,0,
8012555,,Oertzenhof,,53.5180790,13.5731150,,,0,
8012610,,Pasewalk Ost,,53.5096150,14.0077490,,,0,
8012651,,Plüschow,,53.8370640,11.2858420,,,0,
8012656,,Pönitz(Leipzig),,51.4085380,12.5144350,,,0,
8012683,,Prora,,54.4449880,13.5640560,,,0,
8012684,,Prora Ost,,54.4300630,13.5745210,,,0,
8012704,,Radis,,51.7547050,12.5041860,,,0,
8012711,,Rambin(Rügen),,54.3534290,13.2078130,,,0,
